Unidad,2019,2018,2017,2016,2015
0200101001 Abengibre sección 01001,11132,10854,9704,9690,9290
13001 Abenójar,9439,8970,8586,8106,7735
1300101 Abenójar distrito 01,9439,8970,8586,8106,7735
1300101001 Abenójar sección 01001,9477,8833,8300,7795,7538
1300101002 Abenójar sección 01002,9400,9110,8880,8417,7939
31005 Aberin,.,.,.,14741,14166
3100501 Aberin distrito 01,.,.,.,14741,14166
3100501001 Aberin sección 01001,.,.,.,14741,14166
10002 Abertura,9563,8998,8635,8259,7974
1000201 Abertura distrito 01,9563,8998,8635,8259,7974
1000201001 Abertura sección 01001,9563,8998,8635,8259,7974
49002 Abezames,.,.,.,.,.
4900201 Abezames distrito 01,.,.,.,.,.
4900201001 Abezames sección 01001,.,.,.,.,.
16001 Abia de la Obispalía,.,.,.,.,.
1600101 Abia de la Obispalía distrito 01,.,.,.,.,.
1600101001 Abia de la Obispalía sección 01001,.,.,.,.,.
34003 Abia de las Torres,13243,12667,11651,11564,11340
3400301 Abia de las Torres distrito 01,13243,12667,11651,11564,11340
3400301001 Abia de las Torres sección 01001,13243,12667,11651,11564,11340
22001 Abiego,14405,13637,12980,11932,11610
2200101 Abiego distrito 01,14405,13637,12980,11932,11610
2200101001 Abiego sección 01001,14405,13637,12980,11932,11610
22002 Abizanda,13824,12950,12023,12061,12675
2200201 Abizanda distrito 01,13824,12950,12023,12061,12675
2200201001 Abizanda sección 01001,13824,12950,12023,12061,12675
04001 Abla,10192,9556,9159,8639,8788
0400101 Abla distrito 01,10192,9556,9159,8639,8788
0400101001 Abla sección 01001,10192,9556,9159,8639,8788
19002 Ablanque,.,.,.,.,.
1900201 Ablanque distrito 01,.,.,.,.,.
1900201001 Ablanque sección 01001,.,.,.,.,.
31006 Ablitas,10761,10181,9633,10208,10141
3100601 Ablitas distrito 01,.,.,.,9441,9398
3100601001 Ablitas sección 01001,.,.,.,9441,9398
3100602 Ablitas distrito 02,.,.,.,10946,10842
3100602001 Ablitas sección 02001,.,.,.,10946,10842
08001 Abrera,14347,13776,13318,12863,12377
0800101 Abrera distrito 01,14347,13776,13318,12863,12377
0800101001 Abrera sección 01001,14226,13821,13380,12551,12385
0800101002 Abrera sección 01002,12919,12381,11975,11339,10999
0800101003 Abrera sección 01003,16488,15891,15283,15069,14053
0800101004 Abrera sección 01004,15404,14922,14263,14051,13208
0800101005 Abrera sección 01005,13484,12880,12536,11955,11319
0800101007 Abrera sección 01007,14176,13618,12960,12484,12104
0800101008 Abrera sección 01008,14896,14169,14062,13924,13641
04002 Abrucena,10021,9412,8827,8463,8107
0400201 Abrucena distrito 01,10021,9412,8827,8463,8107
0400201001 Abrucena sección 01001,10021,9412,8827,8463,8107
