Unidad,2019,2018,2017,2016,2015
02013 Balsa de Ves,12219,12069,9342,9809,9373
0201301 Balsa de Ves distrito 01,12219,12069,9342,9809,9373
0201301001 Balsa de Ves sección 01001,12219,12069,9342,9809,9373
08018 Balsareny,13724,13363,12891,12324,12163
0801801 Balsareny distrito 01,13724,13363,12891,12324,12163
0801801001 Balsareny sección 01001,14527,13977,13439,12888,12637
0801801002 Balsareny sección 01002,12544,12560,12288,11765,11717
0801801003 Balsareny sección 01003,14512,13548,12676,11958,11775
34022 Baltanás,11564,11231,10506,10722,10313
3402201 Baltanás distrito 01,11564,11231,10506,10722,10313
3402201001 Baltanás sección 01001,11564,11231,10506,10722,10313
32005 Baltar,10914,10180,9662,9150,9487
3200501 Baltar distrito 01,10914,10180,9662,9150,9487
3200501001 Baltar sección 01001,10914,10180,9662,9150,9487
22047 Banastás,17114,17798,16592,16661,15915
2204701 Banastás distrito 01,17114,17798,16592,16661,15915
2204701001 Banastás sección 01001,17114,17798,16592,16661,15915
32006 Bande,11020,10596,10107,9810,9792
3200601 Bande distrito 01,11020,10596,10107,9810,9792
3200601001 Bande sección 01001,11020,10596,10107,9810,9792
07007 Banyalbufar,16375,14849,15230,13739,13735
0700701 Banyalbufar distrito 01,16375,14849,15230,13739,13735
0700701001 Banyalbufar sección 01001,16375,14849,15230,13739,13735
03021 Banyeres de Mariola,11590,11133,10364,10066,9521
0302101 Banyeres de Mariola distrito 01,11975,11549,10833,10494,9902
0302101001 Banyeres de Mariola sección 01001,12801,12627,11528,11498,10602
0302101002 Banyeres de Mariola sección 01002,11191,10840,10152,9794,9396
0302101003 Banyeres de Mariola sección 01003,12324,11551,11115,10487,9908
0302102 Banyeres de Mariola distrito 02,11232,10751,9930,9671,9168
0302102001 Banyeres de Mariola sección 02001,10577,9985,9275,8853,8623
0302102002 Banyeres de Mariola sección 02002,11221,10859,10176,9682,9180
0302102003 Banyeres de Mariola sección 02003,12136,11676,10566,10798,9911
43020 Banyeres del Penedès,12815,12197,11854,11398,11007
4302001 Banyeres del Penedès distrito 01,12815,12197,11854,11398,11007
4302001001 Banyeres del Penedès sección 01001,12625,12064,11775,11486,11197
4302001002 Banyeres del Penedès sección 01002,13110,12406,11975,11258,10708
17015 Banyoles,13618,13126,12495,12083,11834
1701501 Banyoles distrito 01,12669,12315,11593,11304,11135
1701501001 Banyoles sección 01001,12520,12126,11631,11464,11276
1701501002 Banyoles sección 01002,13923,13726,12409,12082,12081
1701501003 Banyoles sección 01003,13239,12422,11766,11241,11192
1701501004 Banyoles sección 01004,11339,11252,10498,10112,10019
1701501005 Banyoles sección 01005,13473,13047,12503,12485,11946
1701502 Banyoles distrito 02,15858,15274,14694,14255,13966
1701502001 Banyoles sección 02001,17484,16667,16425,15458,15299
1701502002 Banyoles sección 02002,15646,15698,14290,14132,14123
1701502003 Banyoles sección 02003,15312,14832,14297,13948,13382
1701502004 Banyoles sección 02004,13893,13092,12247,11889,11258
1701502005 Banyoles sección 02005,16155,15197,15163,14897,14788
1701503 Banyoles distrito 03,11674,11027,10439,9865,9537
1701503001 Banyoles sección 03001,14032,13221,12540,12140,11859
1701503002 Banyoles sección 03002,9760,9205,8684,8020,7642
"15007 Baña, A",10810,10241,9706,9272,8902
"1500701 Baña, A distrito 01",11046,10474,9951,9476,9113
"1500701001 Baña, A sección 01001",11511,10991,10317,10168,9321
"1500701002 Baña, A sección 01002",10693,10081,9670,8960,8894
"1500702 Baña, A distrito 02",10280,9728,9168,8827,8440
"1500702001 Baña, A sección 02001",10280,9728,9168,8827,8440
26024 Bañares,13416,12526,12365,11878,11274
2602401 Bañares distrito 01,13416,12526,12365,11878,11274
2602401001 Bañares sección 01001,13416,12526,12365,11878,11274
"24010 Bañeza, La",10621,10369,10089,9507,9427
"2401001 Bañeza, La distrito 01",10621,10369,10089,9507,9427
"2401001001 Bañeza, La sección 01001",11213,10607,11574,10282,10151
"2401001002 Bañeza, La sección 01002",10963,10836,10766,10196,10321
"2401001003 Bañeza, La sección 01003",10979,10603,9806,9535,9587
"2401001004 Bañeza, La sección 01004",10464,10860,9693,9381,9282
"2401001005 Bañeza, La sección 01005",9479,8970,8549,8162,7779
"2401001006 Bañeza, La sección 01006",9788,9603,8948,8627,8450
37039 Bañobárez,9828,9250,8703,8403,8248
3703901 Bañobárez distrito 01,9828,9250,8703,8403,8248
3703901001 Bañobárez sección 01001,9828,9250,8703,8403,8248
44034 Bañón,10886,10811,8985,9518,9560
4403401 Bañón distrito 01,10886,10811,8985,9518,9560
4403401001 Bañón sección 01001,10886,10811,8985,9518,9560
01011 Baños de Ebro/Mañueta,12140,11230,11845,11794,10690
0101101 Baños de Ebro/Mañueta distrito 01,.,.,.,.,.
0101101001 Baños de Ebro/Mañueta sección 01001,.,.,.,.,.
23011 Baños de la Encina,8827,8305,7930,7802,7373
2301101 Baños de la Encina distrito 01,8827,8305,7930,7802,7373
2301101001 Baños de la Encina sección 01001,8419,7781,7478,7277,6890
2301101002 Baños de la Encina sección 01002,9684,9401,8921,8945,8422
32007 Baños de Molgas,11633,11045,10411,10221,9927
3200701 Baños de Molgas distrito 01,11633,11045,10411,10221,9927
3200701001 Baños de Molgas sección 01001,11609,11071,10370,10265,10061
3200701002 Baños de Molgas sección 01002,11677,10999,10484,10141,9683
10024 Baños de Montemayor,11502,10443,10379,10098,9719
1002401 Baños de Montemayor distrito 01,11502,10443,10379,10098,9719
1002401001 Baños de Montemayor sección 01001,11502,10443,10379,10098,9719
26026 Baños de Río Tobía,11985,11566,10838,10402,10139
2602601 Baños de Río Tobía distrito 01,11985,11566,10838,10402,10139
2602601001 Baños de Río Tobía sección 01001,11985,11566,10838,10402,10139
26025 Baños de Rioja,.,.,.,.,.
2602501 Baños de Rioja distrito 01,.,.,.,.,.
2602501001 Baños de Rioja sección 01001,.,.,.,.,.
19048 Baños de Tajo,.,.,.,.,.
1904801 Baños de Tajo distrito 01,.,.,.,.,.
1904801001 Baños de Tajo sección 01001,.,.,.,.,.
09035 Baños de Valdearados,12684,12168,10378,11069,10583
0903501 Baños de Valdearados distrito 01,12684,12168,10378,11069,10583
0903501001 Baños de Valdearados sección 01001,12684,12168,10378,11069,10583
19049 Bañuelos,.,.,.,.,.
1904901 Bañuelos distrito 01,.,.,.,.,.
1904901001 Bañuelos sección 01001,.,.,.,.,.
09036 Bañuelos de Bureba,.,.,.,.,.
0903601 Bañuelos de Bureba distrito 01,.,.,.,.,.
0903601001 Bañuelos de Bureba sección 01001,.,.,.,.,.
34024 Baquerín de Campos,.,.,.,.,.
3402401 Baquerín de Campos distrito 01,.,.,.,.,.
3402401001 Baquerín de Campos sección 01001,.,.,.,.,.
16027 Barajas de Melo,10496,10006,9468,8530,8730
1602701 Barajas de Melo distrito 01,10496,10006,9468,8530,8730
1602701001 Barajas de Melo sección 01001,10496,10006,9468,8530,8730
48013 Barakaldo,13759,13212,12912,12607,12321
4801301 Barakaldo distrito 01,13963,13498,13361,12941,12747
4801301001 Barakaldo sección 01001,15419,15213,15212,15141,16289
4801301002 Barakaldo sección 01002,13960,13266,13263,13013,12228
4801301003 Barakaldo sección 01003,16557,15725,15239,14927,14268
4801301004 Barakaldo sección 01004,13584,13810,13401,13314,12990
4801301005 Barakaldo sección 01005,12391,12083,12076,11835,11363
4801301006 Barakaldo sección 01006,12157,11272,11382,11139,11439
4801301007 Barakaldo sección 01007,.,.,.,.,.
4801301008 Barakaldo sección 01008,14007,13243,13158,12411,12242
4801302 Barakaldo distrito 02,13640,13089,12854,12546,12170
4801302001 Barakaldo sección 02001,13015,12538,13709,12850,12603
4801302002 Barakaldo sección 02002,13926,13436,13004,13114,12739
4801302003 Barakaldo sección 02003,10743,10399,10132,9859,9500
4801302004 Barakaldo sección 02004,12690,12388,12450,11830,11848
4801302005 Barakaldo sección 02005,12949,12315,12355,12042,11127
4801302006 Barakaldo sección 02006,12092,11590,11035,11228,10838
4801302007 Barakaldo sección 02007,.,.,11204,10676,10757
4801302008 Barakaldo sección 02008,14725,13726,13264,13292,12557
4801302009 Barakaldo sección 02009,12474,12084,11970,11952,11482
4801302010 Barakaldo sección 02010,13306,12330,12136,11696,11337
4801302011 Barakaldo sección 02011,18336,18326,15750,15221,15036
Barakaldo sección 02012,14856,14272,.,.,.
4801303 Barakaldo distrito 03,13175,12403,12114,11898,11461
4801303001 Barakaldo sección 03001,11644,11229,11040,11112,10610
4801303002 Barakaldo sección 03002,13065,12544,12368,11791,11195
4801303003 Barakaldo sección 03003,13138,12562,12091,13342,11611
4801303004 Barakaldo sección 03004,12063,11470,11565,11685,11634
4801303005 Barakaldo sección 03005,15465,14956,14557,14139,14046
4801303006 Barakaldo sección 03006,12106,11451,10703,10564,10250
4801303007 Barakaldo sección 03007,11799,11349,10802,10526,10680
4801303008 Barakaldo sección 03008,16147,13796,13697,12290,11962
4801304 Barakaldo distrito 04,13866,13266,12973,12661,12409
4801304001 Barakaldo sección 04001,13618,13151,13005,12441,12250
4801304002 Barakaldo sección 04002,16697,16797,15881,15381,15225
4801304003 Barakaldo sección 04003,12338,11768,11642,11216,10945
4801304004 Barakaldo sección 04004,13497,13059,12859,12507,12094
4801304005 Barakaldo sección 04005,11393,10770,10789,10636,10368
4801304006 Barakaldo sección 04006,12533,12046,11698,11677,11185
4801304007 Barakaldo sección 04007,12373,11725,11365,11289,10994
4801304008 Barakaldo sección 04008,15447,14675,14040,13837,13691
4801304009 Barakaldo sección 04009,13276,12530,12309,12386,11869
4801304010 Barakaldo sección 04010,14024,13292,12734,12011,12142
4801304011 Barakaldo sección 04011,16544,15722,15693,15244,14984
4801305 Barakaldo distrito 05,15113,14524,14085,13844,13529
4801305001 Barakaldo sección 05001,16960,16819,15488,15151,14635
4801305002 Barakaldo sección 05002,14342,13942,13381,13207,12709
4801305003 Barakaldo sección 05003,12416,11692,11498,11029,11095
4801305004 Barakaldo sección 05004,13226,12859,12346,12041,11755
4801305005 Barakaldo sección 05005,18397,17778,17356,16632,16360
4801305006 Barakaldo sección 05006,14921,14293,13540,13323,13196
4801305007 Barakaldo sección 05007,14842,14179,13850,13742,13444
4801305008 Barakaldo sección 05008,14563,13439,13204,13128,12791
4801305009 Barakaldo sección 05009,14827,14524,14683,13827,13588
4801305010 Barakaldo sección 05010,14418,13378,13091,12641,12318
4801305011 Barakaldo sección 05011,14516,13782,13416,13421,12935
4801306 Barakaldo distrito 06,13690,13066,12851,12510,12415
4801306001 Barakaldo sección 06001,14578,13489,13187,13141,12486
4801306002 Barakaldo sección 06002,12556,12417,12585,11650,11730
4801306003 Barakaldo sección 06003,14960,14453,13829,13550,13523
4801306004 Barakaldo sección 06004,13395,12728,12521,12096,12326
4801306005 Barakaldo sección 06005,12022,11671,11656,11354,11523
4801306006 Barakaldo sección 06006,13299,12699,12379,12312,11661
4801306007 Barakaldo sección 06007,11664,11132,10818,10652,10390
4801306008 Barakaldo sección 06008,15615,14717,14393,14223,14128
4801306009 Barakaldo sección 06009,16151,15290,14964,14723,14643
4801306010 Barakaldo sección 06010,15224,14068,13981,13598,13962
4801306011 Barakaldo sección 06011,12994,12879,12490,12090,11862
4801306012 Barakaldo sección 06012,13453,12976,12866,12074,11898
4801306013 Barakaldo sección 06013,12512,12047,11957,11731,11843
4801307 Barakaldo distrito 07,13676,13141,12807,12498,12325
4801307001 Barakaldo sección 07001,12962,12684,12327,12055,12017
4801307002 Barakaldo sección 07002,12817,12335,11988,11683,11783
4801307003 Barakaldo sección 07003,14900,14423,14368,14118,13671
4801307004 Barakaldo sección 07004,13854,13209,12543,12076,11973
4801307005 Barakaldo sección 07005,13338,12551,12265,11981,11715
4801308 Barakaldo distrito 08,12561,12165,11792,11467,11098
4801308001 Barakaldo sección 08001,12692,12266,11842,11738,11354
4801308002 Barakaldo sección 08002,13504,12637,12035,11464,11100
4801308003 Barakaldo sección 08003,11881,11653,11320,11237,10779
4801308004 Barakaldo sección 08004,13262,12917,12436,12157,11710
4801308005 Barakaldo sección 08005,11839,11480,11094,11085,10416
4801308006 Barakaldo sección 08006,14024,14178,13608,13208,12505
4801308007 Barakaldo sección 08007,12431,12173,12217,11613,11697
4801308008 Barakaldo sección 08008,10240,9986,9789,9517,9205
4801309 Barakaldo distrito 09,13539,13100,12742,12474,12096
4801309001 Barakaldo sección 09001,16284,15557,15140,14410,13955
4801309002 Barakaldo sección 09002,13526,13085,12759,12962,12369
4801309003 Barakaldo sección 09003,12781,12396,11933,11775,11503
4801309004 Barakaldo sección 09004,13827,13103,12978,12647,12118
4801309005 Barakaldo sección 09005,11820,12141,11226,10971,11130
4801309006 Barakaldo sección 09006,10800,10424,10228,9952,9552
4801309007 Barakaldo sección 09007,14356,13591,13211,12989,12584
4801309008 Barakaldo sección 09008,13153,12838,12972,12644,11910
4801309009 Barakaldo sección 09009,13221,12915,12394,12016,11815
4801309010 Barakaldo sección 09010,13725,13088,12765,12541,12097
4801309011 Barakaldo sección 09011,15567,14873,14771,14565,13865
4801309012 Barakaldo sección 09012,13385,13105,12589,12164,12079
27901 Baralla,10681,9657,9383,9049,8798
2790101 Baralla distrito 01,10681,9657,9383,9049,8798
2790101001 Baralla sección 01001,10802,9610,9163,8914,8734
2790101002 Baralla sección 01002,10450,9747,9801,9301,8914
31901 Barañáin/Barañain,14495,13865,13402,13352,13413
3190101 Barañáin/Barañain distrito 01,14495,13865,13402,13352,13413
3190101001 Barañáin/Barañain sección 01001,.,.,.,12421,12291
3190101002 Barañáin/Barañain sección 01002,.,.,.,10975,11330
3190101003 Barañáin/Barañain sección 01003,13418,12968,12559,12606,13092
3190101004 Barañáin/Barañain sección 01004,.,.,.,14097,14319
3190101005 Barañáin/Barañain sección 01005,13682,13403,12947,13039,12428
3190101006 Barañáin/Barañain sección 01006,.,.,.,11976,11819
3190101007 Barañáin/Barañain sección 01007,.,.,.,14423,14931
3190101008 Barañáin/Barañain sección 01008,16084,15498,14399,14778,14538
3190101009 Barañáin/Barañain sección 01009,.,.,.,11869,11514
3190101010 Barañáin/Barañain sección 01010,15403,14823,14597,14440,14352
3190101011 Barañáin/Barañain sección 01011,15800,14752,14027,14213,14987
42029 Baraona,9799,10074,9188,9228,9494
4202901 Baraona distrito 01,9799,10074,9188,9228,9494
4202901001 Baraona sección 01001,9799,10074,9188,9228,9494
31045 Barásoain,.,.,.,13412,13819
3104501 Barásoain distrito 01,.,.,.,13412,13819
3104501001 Barásoain sección 01001,.,.,.,13412,13819
32008 Barbadás,10981,10424,9976,9693,9528
3200801 Barbadás distrito 01,10905,10358,9925,9639,9456
3200801001 Barbadás sección 01001,10518,9907,9542,9273,9102
3200801002 Barbadás sección 01002,12409,11891,11302,10879,10909
3200801003 Barbadás sección 01003,10348,9992,9515,9181,8854
3200801004 Barbadás sección 01004,10434,9938,9583,9445,9321
3200801005 Barbadás sección 01005,11083,10411,9973,9643,9316
3200802 Barbadás distrito 02,11712,11060,10466,10192,10183
3200802001 Barbadás sección 02001,11712,11060,10466,10192,10183
37040 Barbadillo,10571,9981,9327,9640,8936
3704001 Barbadillo distrito 01,10571,9981,9327,9640,8936
3704001001 Barbadillo sección 01001,10571,9981,9327,9640,8936
09037 Barbadillo de Herreros,15607,16331,16841,15763,15465
0903701 Barbadillo de Herreros distrito 01,15607,16331,16841,15763,15465
0903701001 Barbadillo de Herreros sección 01001,15607,16331,16841,15763,15465
09038 Barbadillo del Mercado,14120,13624,13696,13189,12744
0903801 Barbadillo del Mercado distrito 01,14120,13624,13696,13189,12744
0903801001 Barbadillo del Mercado sección 01001,14120,13624,13696,13189,12744
09039 Barbadillo del Pez,.,.,.,.,.
0903901 Barbadillo del Pez distrito 01,.,.,.,.,.
0903901001 Barbadillo del Pez sección 01001,.,.,.,.,.
37041 Barbalos,.,.,.,.,.
3704101 Barbalos distrito 01,.,.,.,.,.
3704101001 Barbalos sección 01001,.,.,.,.,.
31046 Barbarin,.,.,.,.,.
3104601 Barbarin distrito 01,.,.,.,.,.
3104601001 Barbarin sección 01001,.,.,.,.,.
22048 Barbastro,12708,12217,11758,11191,11043
2204801 Barbastro distrito 01,12708,12217,11758,11191,11043
2204801002 Barbastro sección 01002,12761,12153,11668,11053,10779
2204801003 Barbastro sección 01003,12308,11985,11703,10908,11216
2204801004 Barbastro sección 01004,13313,12650,12328,11254,11406
2204801005 Barbastro sección 01005,11890,11372,10825,10470,10275
2204801006 Barbastro sección 01006,13845,13142,12969,12212,11944
2204801007 Barbastro sección 01007,11986,11423,10760,10416,10248
2204801008 Barbastro sección 01008,13977,13362,12990,12410,12216
2204801009 Barbastro sección 01009,11649,11206,10688,9969,9618
2204801010 Barbastro sección 01010,11764,11434,11145,10588,10609
2204801011 Barbastro sección 01011,12965,12787,11923,11663,11320
2204801012 Barbastro sección 01012,14412,13748,13406,12792,12513
11007 Barbate,8126,7636,7200,6894,6676
1100701 Barbate distrito 01,8466,7901,7478,7187,6968
1100701001 Barbate sección 01001,9434,8711,8393,8074,7756
1100701003 Barbate sección 01003,8879,8514,8213,7989,7868
1100701004 Barbate sección 01004,7933,7329,6880,6591,6497
1100701005 Barbate sección 01005,7751,7246,6664,6366,6087
1100702 Barbate distrito 02,7548,7078,6585,6340,6144
1100702001 Barbate sección 02001,7798,7427,7007,6762,6691
1100702002 Barbate sección 02002,7964,7632,7155,6798,6703
1100702003 Barbate sección 02003,8968,8392,7801,7560,7148
1100702004 Barbate sección 02004,8378,8071,7366,7127,6824
1100702005 Barbate sección 02005,5676,5150,4837,4638,4470
1100702006 Barbate sección 02006,7563,7078,6545,6312,6319
1100702007 Barbate sección 02007,7038,6568,6158,5797,5633
1100702009 Barbate sección 02009,7235,6537,6128,6101,5784
1100703 Barbate distrito 03,8977,8347,7918,7487,7193
1100703001 Barbate sección 03001,8642,8130,7699,7278,6756
1100703002 Barbate sección 03002,9200,8493,8066,7633,7505
1100704 Barbate distrito 04,8307,8108,7882,7488,7317
1100704001 Barbate sección 04001,8300,8558,8834,8477,8377
1100704002 Barbate sección 04002,8313,7618,6978,6519,6277
25041 Barbens,11163,10652,9674,9597,9455
2504101 Barbens distrito 01,11163,10652,9674,9597,9455
2504101001 Barbens sección 01001,11163,10652,9674,9597,9455
43021 Barberà de la Conca,12980,12883,12182,11550,11495
4302101 Barberà de la Conca distrito 01,12980,12883,12182,11550,11495
4302101001 Barberà de la Conca sección 01001,12980,12883,12182,11550,11495
08252 Barberà del Vallès,13692,13095,12654,12193,11827
0825201 Barberà del Vallès distrito 01,13692,13095,12654,12193,11827
0825201001 Barberà del Vallès sección 01001,13524,12919,12244,12031,11525
0825201002 Barberà del Vallès sección 01002,13340,13233,12615,11874,11815
0825201003 Barberà del Vallès sección 01003,11501,10794,10186,9968,9596
0825201004 Barberà del Vallès sección 01004,11726,11167,10772,9987,9971
0825201005 Barberà del Vallès sección 01005,11567,10829,10492,10113,9585
0825201006 Barberà del Vallès sección 01006,12236,11885,11651,11171,10889
0825201007 Barberà del Vallès sección 01007,15720,14934,14620,14113,13671
0825201008 Barberà del Vallès sección 01008,12611,11959,11255,10778,10450
0825201009 Barberà del Vallès sección 01009,12902,12275,11730,11295,11027
0825201010 Barberà del Vallès sección 01010,15801,14963,14474,13991,13501
0825201011 Barberà del Vallès sección 01011,15036,14477,13934,13136,12685
0825201018 Barberà del Vallès sección 01018,12100,11919,11738,10967,10793
0825201019 Barberà del Vallès sección 01019,12488,11836,11570,11788,11130
0825201020 Barberà del Vallès sección 01020,11631,11370,10666,10450,10401
0825201021 Barberà del Vallès sección 01021,12598,11622,11881,11249,11169
0825201022 Barberà del Vallès sección 01022,15753,14815,14133,13656,13328
0825201023 Barberà del Vallès sección 01023,17535,17259,16717,15587,14620
0825201024 Barberà del Vallès sección 01024,11816,11355,10909,10442,9903
0825201025 Barberà del Vallès sección 01025,13698,13113,12374,12059,11686
0825201026 Barberà del Vallès sección 01026,13928,13317,13243,12411,11940
0825201027 Barberà del Vallès sección 01027,15159,14720,14637,14202,13795
0825201028 Barberà del Vallès sección 01028,14791,14133,13624,13467,13242
0825201029 Barberà del Vallès sección 01029,15006,14343,13536,13307,13182
50043 Bárboles,13282,12284,11869,11136,10599
5004301 Bárboles distrito 01,13282,12284,11869,11136,10599
5004301001 Bárboles sección 01001,13282,12284,11869,11136,10599
40025 Barbolla,11290,11161,9995,9672,9121
4002501 Barbolla distrito 01,11290,11161,9995,9672,9121
4002501001 Barbolla sección 01001,11290,11161,9995,9672,9121
22049 Barbués,.,.,.,.,.
2204901 Barbués distrito 01,.,.,.,.,.
2204901001 Barbués sección 01001,.,.,.,.,.
22050 Barbuñales,.,.,.,.,.
2205001 Barbuñales distrito 01,.,.,.,.,.
2205001001 Barbuñales sección 01001,.,.,.,.,.
42030 Barca,15843,.,15235,15491,15622
4203001 Barca distrito 01,15843,.,15235,15491,15622
4203001001 Barca sección 01001,15843,.,15235,15491,15622
22051 Bárcabo,15331,14538,13191,12435,11881
2205101 Bárcabo distrito 01,15331,14538,13191,12435,11881
2205101001 Bárcabo sección 01001,15331,14538,13191,12435,11881
06016 Barcarrota,8767,8424,7931,7708,7531
0601601 Barcarrota distrito 01,8324,7962,7456,7090,7103
0601601001 Barcarrota sección 01001,8324,7962,7456,7090,7103
0601602 Barcarrota distrito 02,10095,9873,9351,9337,9020
0601602001 Barcarrota sección 02001,10095,9873,9351,9337,9020
0601603 Barcarrota distrito 03,8418,7984,7530,7332,7057
0601603001 Barcarrota sección 03001,8418,7984,7530,7332,7057
08019 Barcelona,16894,16386,15755,15389,14946
0801901 Barcelona distrito 01,11552,11062,10661,10183,9873
0801901001 Barcelona sección 01001,10928,10366,10614,9977,9310
0801901002 Barcelona sección 01002,8783,8127,8155,7366,7496
0801901003 Barcelona sección 01003,8813,8406,8179,7657,7300
0801901004 Barcelona sección 01004,10694,10736,10250,9510,9346
0801901005 Barcelona sección 01005,9196,8677,8159,7714,7690
0801901006 Barcelona sección 01006,10558,10339,9543,9131,8697
0801901007 Barcelona sección 01007,9323,9195,8948,8189,7804
0801901008 Barcelona sección 01008,7751,7220,6991,6812,6345
0801901009 Barcelona sección 01009,9643,8883,8450,8437,8513
0801901010 Barcelona sección 01010,8015,7815,7697,7592,7013
0801901011 Barcelona sección 01011,7950,7660,7190,6796,6891
0801901012 Barcelona sección 01012,10021,9603,9296,9117,8889
0801901013 Barcelona sección 01013,10736,10360,9985,9880,9663
0801901014 Barcelona sección 01014,9483,9234,9222,8531,8452
0801901015 Barcelona sección 01015,9840,9195,8992,8857,8745
0801901016 Barcelona sección 01016,9845,8934,8594,8357,8376
0801901017 Barcelona sección 01017,9108,8727,8375,7713,7641
0801901018 Barcelona sección 01018,9488,9213,8730,8235,8095
0801901019 Barcelona sección 01019,9591,8906,8434,8095,7701
0801901020 Barcelona sección 01020,14766,13962,14076,13194,12519
0801901021 Barcelona sección 01021,13643,13824,13108,12340,12178
0801901022 Barcelona sección 01022,17640,16811,15707,15591,15293
0801901023 Barcelona sección 01023,14500,13650,13676,13615,13414
0801901025 Barcelona sección 01025,13328,13351,12871,11760,11266
0801901026 Barcelona sección 01026,13691,11125,11523,11285,10794
0801901027 Barcelona sección 01027,12411,11634,12440,10910,10935
0801901028 Barcelona sección 01028,12606,12015,11457,11116,11239
0801901029 Barcelona sección 01029,10936,10690,10519,9797,9850
0801901030 Barcelona sección 01030,11198,10354,10307,10211,9946
0801901031 Barcelona sección 01031,11265,11953,11019,10322,10290
0801901032 Barcelona sección 01032,14474,13237,13273,13006,12350
0801901033 Barcelona sección 01033,12109,10773,10950,10089,10350
0801901034 Barcelona sección 01034,12137,11653,11195,10333,10097
0801901035 Barcelona sección 01035,11785,11397,10622,10404,10176
0801901036 Barcelona sección 01036,13071,12161,11623,11175,10884
0801901037 Barcelona sección 01037,12556,11938,11289,10872,10303
0801901038 Barcelona sección 01038,11725,11287,10227,10201,9867
0801901039 Barcelona sección 01039,12325,12579,12013,11596,11337
0801901040 Barcelona sección 01040,13296,13150,12215,11880,11972
0801901041 Barcelona sección 01041,11300,10891,10839,10287,9911
0801901042 Barcelona sección 01042,12915,12567,12209,12067,11760
0801901043 Barcelona sección 01043,17049,17001,15445,15122,14882
0801901044 Barcelona sección 01044,17041,15750,14540,14553,14447
0801901045 Barcelona sección 01045,13631,12787,12453,11833,11774
0801901046 Barcelona sección 01046,12613,14038,11485,11835,10627
0801901047 Barcelona sección 01047,12513,11262,11475,10639,10190
0801901048 Barcelona sección 01048,9785,9936,9599,8733,8501
0801901049 Barcelona sección 01049,13835,12515,11977,11912,11702
0801901050 Barcelona sección 01050,12728,12332,12150,12165,11114
0801901051 Barcelona sección 01051,10969,10130,10159,9605,9375
0801901052 Barcelona sección 01052,17714,17954,16250,14961,14013
0801901053 Barcelona sección 01053,12090,11898,11529,10590,10271
0801901054 Barcelona sección 01054,13456,12564,12840,11448,10540
0801901055 Barcelona sección 01055,16024,14710,15089,14680,14521
0801902 Barcelona distrito 02,18940,18442,17754,17280,16854
0801902001 Barcelona sección 02001,17566,16275,15417,14772,14983
0801902002 Barcelona sección 02002,17740,16559,15377,14502,13938
0801902003 Barcelona sección 02003,18337,18079,18333,17093,16433
0801902004 Barcelona sección 02004,14978,13934,13366,12819,12746
0801902005 Barcelona sección 02005,18983,18364,17904,17634,17322
0801902006 Barcelona sección 02006,19796,18029,18761,17978,17366
0801902007 Barcelona sección 02007,19992,20326,19053,18286,18084
0801902008 Barcelona sección 02008,18416,17620,17398,17109,16397
0801902009 Barcelona sección 02009,17889,17156,16521,16410,15994
0801902010 Barcelona sección 02010,16417,16282,16014,15326,15578
0801902011 Barcelona sección 02011,18183,18675,18279,16854,16826
0801902012 Barcelona sección 02012,14662,14183,14271,13611,13357
0801902013 Barcelona sección 02013,15363,14893,14346,14396,13470
0801902014 Barcelona sección 02014,14580,13873,13150,12283,12481
0801902015 Barcelona sección 02015,15095,14347,13730,13951,13637
0801902016 Barcelona sección 02016,18640,19301,17476,17847,16813
0801902017 Barcelona sección 02017,19109,18212,17521,16810,16624
0801902018 Barcelona sección 02018,19581,19062,18180,17613,17284
0801902019 Barcelona sección 02019,17310,16733,16261,15757,15312
0801902020 Barcelona sección 02020,15658,14996,14801,14164,14185
0801902021 Barcelona sección 02021,17300,16135,15222,15009,14816
0801902022 Barcelona sección 02022,16639,16664,15372,15642,15500
0801902023 Barcelona sección 02023,17581,17319,16656,16042,15685
0801902024 Barcelona sección 02024,15931,14874,15027,14007,14273
0801902025 Barcelona sección 02025,16097,14738,14286,13903,15059
0801902026 Barcelona sección 02026,17095,16611,15845,15318,15427
0801902027 Barcelona sección 02027,17455,17033,17146,16635,16722
0801902028 Barcelona sección 02028,17115,18284,15838,15677,15423
0801902029 Barcelona sección 02029,16215,16044,15762,14248,14040
0801902030 Barcelona sección 02030,13351,12934,12686,12937,12762
0801902031 Barcelona sección 02031,18730,19106,18169,18360,17872
0801902032 Barcelona sección 02032,17991,16359,16754,16472,15757
0801902033 Barcelona sección 02033,17312,16995,15861,15454,15076
0801902034 Barcelona sección 02034,15139,14430,13484,13073,13395
0801902035 Barcelona sección 02035,19014,17037,16534,16226,15446
0801902036 Barcelona sección 02036,18382,18593,18445,17714,17443
0801902037 Barcelona sección 02037,19273,19131,17832,17386,16940
0801902038 Barcelona sección 02038,19085,18278,17947,17857,16916
0801902039 Barcelona sección 02039,17197,16464,15339,14998,14294
0801902040 Barcelona sección 02040,15215,15009,14881,13673,13883
0801902041 Barcelona sección 02041,16920,16610,16200,16032,15532
0801902042 Barcelona sección 02042,20166,19749,18915,18896,17506
0801902043 Barcelona sección 02043,18085,17870,17255,16971,16395
0801902044 Barcelona sección 02044,15825,14994,14794,14383,13938
0801902045 Barcelona sección 02045,19044,17396,17601,16744,16281
