fecha,indicativo,tmin,longitud,latitud
2021-01-06,8293X,-2.3,-0.523611,39.001667
2021-01-06,0372C,-4.3,2.763611,42.104444
2021-01-06,5704B,-1.7,-5.769722,37.926389
2021-01-06,8414A,-2.3,-0.474722,39.485
2021-01-06,1735X,-6.9,-7.733611,42.079167
2021-01-06,5270B,2.3,-3.808889,37.7775
2021-01-06,9563X,-4.8,-0.186667,40.498611
2021-01-06,1700X,-1,-8.0925,42.421389
2021-01-06,3526X,-4.1,-6.5575,40.003611
2021-01-06,1387,2.3,-8.421389,43.365833
2021-01-06,9381I,-8.6,-1.293333,40.926111
2021-01-06,4121,-6.2,-3.920278,38.989167
2021-01-06,8177A,-5.8,-1.66,38.935833
2021-01-06,1183X,2.7,-4.748056,43.420278
2021-01-06,8368U,-8.8,-1.124167,40.350556
2021-01-06,8178D,-8,-1.862222,39.005556
2021-01-06,8416Y,1.7,-0.366389,39.480556
2021-01-06,5783,2,-5.879167,37.416667
2021-01-06,6205X,9.7,-3.957222,36.726389
2021-01-06,1400,3.5,-9.291389,42.924722
2021-01-06,6156X,9.1,-4.481667,36.717778
2021-01-06,5530E,1.7,-3.789444,37.189722
2021-01-06,6084X,10.4,-4.618333,36.538611
2021-01-06,1078I,1.2,-3.104722,43.203333
2021-01-06,9208E,-9.2,-0.673056,42.708889
2021-01-06,0200E,1,2.124167,41.418333
2021-01-06,9019B,-5.2,-3.933889,42.806389
2021-01-06,2946X,-7.7,-6.6,40.635
2021-01-06,1549,-4,-6.6,42.563889
2021-01-06,3100B,-8,-3.546111,40.067222
2021-01-06,4147X,-6.3,-3.391389,38.750556
2021-01-06,2400E,-5.3,-4.602778,41.995556
2021-01-06,5000C,9.7,-5.346944,35.888611
2021-01-06,9051,-5.1,-3.482778,42.92
2021-01-06,7275C,-6.8,-1.159722,38.601667
2021-01-06,2298,-13.2,-3.131667,41.959722
2021-01-06,3168D,-5.6,-3.15,40.630278
2021-01-06,9585,-10.2,1.939444,42.3325
2021-01-06,2462,-9.7,-4.010556,40.793056
2021-01-06,2630X,-13.1,-5.376944,43.062222
2021-01-06,B278,-2.4,2.736667,39.560833
2021-01-06,3298X,-3.5,-4.350556,39.546944
2021-01-06,4244X,-4.8,-5.062222,39.169444
2021-01-06,2539,-7.4,-4.855556,41.711944
2021-01-06,7178I,2.4,-1.170833,38.001944
2021-01-06,2444,-7.9,-4.68,40.659167
2021-01-06,6302A,2.6,-2.78,37.141389
2021-01-06,3196,-3.2,-3.786111,40.375556
2021-01-06,2030,-8.9,-2.483056,41.775
2021-01-06,4560Y,0.6,-6.675,37.868611
2021-01-06,1050J,-1.8,-2.413333,43.209444
2021-01-06,0149X,-5.3,1.840278,41.72
2021-01-06,8309X,-6.2,-1.244722,39.575556
2021-01-06,1393,4.1,-9.210833,43.160556
2021-01-06,1495,-1,-8.623889,42.238611
2021-01-06,1249X,0.5,-5.874167,43.353333
2021-01-06,6155A,9,-4.482222,36.666111
2021-01-06,3576X,-4.2,-7.231111,39.414722
2021-01-06,2870,-5.9,-5.662222,40.9575
2021-01-06,9201K,-8.9,-0.546944,42.578889
2021-01-06,1351,4.4,-7.684722,43.786111
2021-01-06,3266A,-7.4,-4.141944,40.706389
2021-01-06,1631E,-6.6,-7.2825,42.339444
2021-01-06,7012C,6.4,-0.987778,37.601111
2021-01-06,1057B,2.1,-2.752778,43.453889
2021-01-06,3338,-5.9,-4.25,40.427778000000004
2021-01-06,2374X,-4.4,-4.617222,42.350833
2021-01-06,1484C,-0.4,-8.615833,42.438333
2021-01-06,0252D,1.3,2.54,41.5875
2021-01-06,5911A,-0.1,-5.374167,36.760556
2021-01-06,1428,-1,-8.410556,42.888056
2021-01-06,0201D,2,2.2,41.390556
2021-01-06,9091O,-6.4,-2.735,42.881944
2021-01-06,3365A,-5,-4.863611,39.958611
2021-01-06,5298X,0,-4.063333,38.023056
2021-01-06,6000A,9.1,-2.956389,35.276389
2021-01-06,5973,5.8,-6.257778,36.499722
2021-01-06,2916A,-5.4,-6.437778,41.011389
2021-01-06,2150H,-10.4,-3.475278,41.191944
2021-01-06,9771C,-5.6,0.598056,41.626111
2021-01-06,9390,-8,-1.41,41.114444
2021-01-06,2614,-6.3,-5.735278,41.515556
2021-01-06,1208H,4.1,-5.700833,43.56
2021-01-06,1037Y,-4.7,-2.3175,43.08
2021-01-06,4511C,-2.2,-6.765,38.298611
2021-01-06,9001D,-11.5,-4.160556,42.991944
2021-01-06,8096,-7.1,-2.131944,40.067222
2021-01-06,6325O,9.1,-2.356944,36.846389
2021-01-06,1542,-10.9,-6.414167,42.994167
2021-01-06,1111X,3.6,-3.800556,43.491111
2021-01-06,4642E,1.9,-6.911667,37.278333
2021-01-06,2422,-5.9,-4.754444,41.640833
2021-01-06,5910,3.2,-6.3325,36.638889
2021-01-06,9091R,-6.8,-2.732778,42.871944
2021-01-06,4549Y,3.3,-7.395,37.194722
2021-01-06,3130C,-10.1,-2.618056,41.086389
2021-01-06,2737E,-7.8,-6.196667,42.3775
2021-01-06,1210X,3.6,-5.848611,43.655833
2021-01-06,B954,0,1.384444,38.876389
2021-01-06,3469A,-4,-6.338889,39.471389
2021-01-06,8050X,-1.6,0.167778,38.783611
2021-01-06,9262,-3.1,-1.638333,42.817778
2021-01-06,6001,10.1,-5.598889,36.013889
2021-01-06,9263D,-4.4,-1.65,42.776944
2021-01-06,3044X,-9.2,-2.15,40.530278
2021-01-06,3195,-2.2,-3.678056,40.411944
2021-01-06,B893,-0.6,4.215556,39.854722
2021-01-06,9573X,-3.4,-0.141667,41.058056
2021-01-06,7119B,-2.1,-1.877222,38.1025
2021-01-06,0255B,-2.2,2.696944,41.650833
2021-01-06,5612B,1,-4.77,37.194444
2021-01-07,4358X,2.9,-5.880556,38.955556
2021-01-07,4220X,1,-4.616389,39.088611
2021-01-07,6106X,4.4,-4.748333,37.029444
2021-01-07,9698U,-5.8,0.865278,42.205278
2021-01-07,4410X,3.2,-6.385556,38.915833
2021-01-07,1331A,0,-7.031389,43.524722
2021-01-07,1690A,-1.3,-7.859722,42.325278
2021-01-07,8489X,-4.5,-0.255833,40.433333
2021-01-07,8025,6.2,-0.494167,38.3725
2021-01-07,9784P,-9.6,0.224722,42.63
2021-01-07,2331,-8.1,-3.620278,42.356944
2021-01-07,9434,-3.1,-1.004167,41.660556
2021-01-07,1109,0.2,-3.825556,43.423889
2021-01-07,6293X,7.8,-2.701667,36.686944
2021-01-07,1212E,0.4,-6.044167,43.566944
2021-01-07,9394X,-4.2,-1.645278,41.331111
2021-01-07,3094B,-1.6,-3.021389,40.011389
2021-01-07,1059X,1.5,-3.021667,43.375
2021-01-07,1207U,-2.7,-5.621111,43.523056
2021-01-07,6367B,3.2,-1.943611,37.390556
2021-01-07,7228,3.8,-1.228611,37.957778
2021-01-07,7002Y,7.4,-1.586944,37.417222
2021-01-07,3191E,-2,-3.765,40.696111
2021-01-07,0016A,-0.1,1.163611,41.145
2021-01-07,8058X,5.6,-0.095833,38.928889
2021-01-07,0367,0.5,2.763333,41.911667
2021-01-07,7247X,2,-1.038056,38.399722
2021-01-07,3200,-0.6,-3.722222,40.299444
2021-01-07,4103X,0,-3.0075,39.169167
2021-01-07,3175,-5.2,-3.443611,40.488611
2021-01-07,3129,-4.4,-3.555556,40.466667
2021-01-07,4067,-1.4,-3.528333,39.491944
2021-01-07,1014A,-2.6,-1.792222,43.356944
2021-01-07,7031X,6.2,-0.805833,37.778333
2021-01-07,7209,2.8,-1.687222,37.654722
2021-01-07,3519X,0,-6.085833,40.043056
2021-01-07,2755X,-5.6,-5.666667,42.010833
2021-01-07,8175,-0.2,-1.856389,38.954167
2021-01-07,9244X,-7.1,-1.213611,42.490833
2021-01-07,6277B,8.5,-3.020556,36.747222
2021-01-07,9170,-3.4,-2.331111,42.452222
2021-01-07,7031,5.5,-0.803333,37.788889
2021-01-07,5181D,3.2,-2.889722,38.314722
2021-01-07,B691Y,2.4,3.016667,39.749167
2021-01-07,1159,0.3,-4.392222,43.393333
2021-01-07,3260B,-0.7,-4.045278,39.884722
2021-01-07,3194U,-2.7,-3.724167,40.451667
2021-01-07,1283U,1.5,-6.47,43.569167
2021-01-07,1083L,1.8,-3.233889,43.394722
2021-01-07,2117D,-8.4,-3.742778,41.665833
2021-01-07,5514,2.6,-3.631389,37.137222
2021-01-07,B248,-0.7,2.713056,39.735
2021-01-07,5860E,6.8,-6.738056,37.098056
2021-01-07,2465,-5.8,-4.126389,40.945278
2021-01-07,B228,6.4,2.625278,39.555278
2021-01-07,B013X,-0.1,2.885833,39.823333
2021-01-07,4090Y,0,-2.420556,39.416667
